user_id,habit_id,timestamp,status
U01,reading,2024-01-01 07:05,done
U01,reading,2024-01-02 07:10,done
U01,reading,2024-01-03 07:25,done
U01,reading,2024-01-04 07:40,missed
U01,reading,2024-01-05 07:15,done
U01,reading,2024-01-06 07:05,done
U01,reading,2024-01-07 07:30,done
U01,reading,2024-01-08 07:50,missed
U01,reading,2024-01-09 07:10,done
U01,reading,2024-01-10 07:20,done
U01,reading,2024-01-11 07:05,done
U01,reading,2024-01-12 07:45,missed
U01,reading,2024-01-13 07:15,done
U01,reading,2024-01-14 07:05,done
U01,reading,2024-01-15 07:35,done
U01,reading,2024-01-16 07:55,missed
U01,reading,2024-01-17 07:10,done
U01,reading,2024-01-18 07:05,done
U01,reading,2024-01-19 07:25,done
U01,reading,2024-01-20 07:40,done
U01,reading,2024-01-21 07:50,missed
U01,reading,2024-01-22 07:05,done
U01,reading,2024-01-23 07:15,done
U01,reading,2024-01-24 07:30,done
U01,reading,2024-01-25 07:45,missed
U01,reading,2024-01-26 07:10,done
U01,reading,2024-01-27 07:05,done
U01,reading,2024-01-28 07:20,done
U01,reading,2024-01-29 07:35,done
U01,reading,2024-01-30 07:50,missed